,Description
20,"Elliot Hopper (Bill Cosby) is a workaholic widower who is about to land the deal of a lifetime at work, which he hopes will win him a promotion and a company car. After he forgets his daughter Diane's birthday, he attempts to make it up to her by promising her she can have his car when he secures the deal at work on the coming Thursday. After being persuaded to give the car to his daughter early, Elliot must hail a taxi from work, which is driven by Satanist Curtis Burch (Raynor Scheine), who drives erratically and speeds out of control. Attempting to get the taxi stopped, Elliot announces that he is Satan and commands him to stop the taxi. Shocked to see his ""Evil Master"", Burch drives off a bridge and into the river.
Elliot emerges from the accident scene, only to learn that he is a ghost when a police officer fails to notice him and a speeding bus goes straight through him. When he gets home he discovers that his three children can see him, but only in a totally dark room, and they can't hear him. He struggles to tell them what happened when he is whisked away to London by paranormal researcher Sir Edith (Ian Bannen), who tells him he is a ghost who has yet to enter the afterlife because ""they screwed up""; his soul will not cross over until Thursday.
The pressures of work and family life lead to many comedic events, as Elliot attempts to get a life insurance policy and complete his company's merger, so his family will be provided for once he crosses over. One day, he must choose between staying in an important work meeting and helping his son with a magic trick at school. He eventually decides that his family's happiness is more important and walks out on his furious boss, Mr. Collins (Barry Corbin), who later smugly fires him. Dejected, Elliot reveals himself as a ghost to his love interest, Joan (Denise Nicholas), whose initial shock soon turns to sympathy.
Edith arrives from London to announce that Elliot is not dead; his spirit jumped out of his body in fright. They also work out that the only previous known case of this happening was Elliot's father. In the excitement to find Elliot's body to reunite his spirit with it, Diane trips on a pair of skates that her little sister Amanda left on the stairs; she falls and is seriously injured. The family rush her to the hospital where her spirit has also jumped out of her body. As she delightedly flies around, Elliot begs her to re-enter her body; his own has started to ""flicker"". When he collapses, Diane becomes concerned and races into the intensive-care unit to find her father's body. She helps him into the room and they discover that Burch had swapped wallets with Elliot, meaning Elliot was wrongly identified by the hospital as Burch. Elliot returns to his body and wakes up; Diane does the same and jumps off the operating table to tell the family what has happened.
As the reunited family leave the hospital, Elliot spots a yellow taxi parked outside and Burch behind the wheel. Delighted to see his ""Evil Master"", Burch returns Elliot's wallet and tells Elliot he will do whatever Elliot commands. Elliot commands Burch to go to hell and sit on red-hot coals waiting for him ""until it snows"". Curtis agrees enthusiastically and drives off while Elliot, Joan, Edith and the family leave the hospital."
21,"Michael Felgate is an English auctioneer living in New York where he manages the Cromwell auction house. He proposes marriage to his girlfriend Gina Vitale, but is shocked to be turned down. Gina tearfully explains that her father Frank and most of her cousins and uncles are gangsters deeply involved in a Mafia crime family, and she is worried that Michael may be sucked into their world. Michael retorts that he will not let this happen, but barely is their engagement party over before he is unwittingly involved in a money laundering scam, and soon the FBI takes an interest in him.
When one of the money laundering scams at Michael's auction house goes wrong, Gina's cousin Johnny confronts and assaults Michael. Gina grabs his gun and fires a warning shot into the ceiling, which ricochets and accidentally kills Johnny. Johnny's father Vito finds out, and he tells Frank he will kill Gina unless Frank kills Michael during his wedding speech. Unable to carry out the deed, Frank confesses what Vito has ordered him to do to Michael and the two of them turn to the FBI in return for protection. The FBI set up an elaborate operation in which Michael's execution will be faked at the wedding reception. Michael is given a hidden recording device and is tasked with trying to record Vito into admitting his criminal activity on tape before he is ""executed"".
Michael's plan fails, and when Vito realises that his execution is a set-up, he orders Vinnie to kill Michael. Vinnie shoots Gina in what appears to be an accident. Vito is arrested for ordering Michael's execution. As Frank and Michael mourn Gina's apparent death in the back of her ambulance, it is revealed that her death was faked as well, and that Vinnie and Gina were also involved with the FBI as a back-up plan."
22,"Major Vic Deakins (John Travolta) and Captain Riley Hale (Christian Slater), pilots in the United States Air Force, are assigned to a secret exercise flying a B-3 Stealth Bomber (a fictional iteration of the B-2 Spirit stealth bomber) with two B83 nuclear bombs on board. After successfully evading Air Force radar, Deakins attacks Hale and ejects him out of the plane. Deakins then releases the bombs without detonating them and reports that Hale has gone rogue. He then ejects from the plane, leaving it to crash.
A USAF search and rescue team is sent to recover the warheads. Not finding them, they report a ""Broken Arrow"", a situation wherein nuclear weapons are missing. Next morning the search team locates the warheads in a canyon but is ambushed by mercenaries. Master Sergeant Sam Rhodes (Vondie Curtis-Hall) tries to disable the warhead but is killed by the other survivor, Sgt. Kelly (Howie Long), who was actually the mercenaries' mole. Deakins arrives moments later and plots his next move with Pritchett (Bob Gunton), the mercenaries' financier. They plan to blackmail the US government with the threat of detonating the warhead in a populated area.
Hale has survived the ejection and is almost arrested by park ranger Terry Carmichael (Samantha Mathis), who had been investigating the unusual events in the park. He convinces her to help him track down Deakins. Deakins' mercenaries commandeer the USAF search and rescue helicopter to kill Hale, but Hale and Terry manage to bring it down. The loss of the helicopter forces Deakins' men to transport the warheads with Hummer trucks.
Hale and Terry carjack the Hummer with the warheads, escaping to a nearby abandoned copper mine, where Hale unsuccessfully attempts to disable them. They then take the armed warhead down the shaft where the mine is deep enough to contain the nuclear blast. However, before they can bring down the second warhead, Deakins' team arrives and secures it. After a gun battle deep in the mines, Deakins shortens the countdown of the armed warhead while leaving Hale and Terry trapped, but they escape via an underground river just before the bomb detonates. The bomb's electromagnetic pulse disables the NEST helicopter, allowing Deakins to escape. Terry and Hale track the mercenaries to a motorboat used for transporting the warhead down the river. While trying to steal the boat, Terry is forced to hide onboard and military forces rescue Hale.
Hale deduces that Deakins intends to use a train to transport the warhead. Stowing on the train, Terry tries to sabotage the warhead but is caught by Deakins and is forced to enter the arming code. Catching up on a USAF helicopter, Hale saves Terry before Deakins can throw her off the train. A gunfight ensues and the USAF helicopter crashes, killing most of the mercenaries. Deakins has prepared a remote control that can either disarm or detonate the warhead and gets ready to depart the train on his own getaway helicopter; however, Hale's sabotage of the helicopter's fuel pump causes it to explode, leaving Deakins and Kelly without the means to get clear of the nuclear blast. With his plan falling apart, Deakins decides to arm the warhead regardless with a short countdown timer. Not wanting to die, Kelly holds Deakins at gunpoint and orders him to disarm the weapon. Hale sneaks up on them during their bickering and kicks Kelly out of the boxcar to his death, then engages in a gun battle with Deakins.
Terry detaches the section of the train with the bomb but gets into a shootout with the engineer. The latter is shot and falls on the train brakes, causing the detached boxcars to coast uncontrollably at high speed. Meanwhile, Deakins still has the remote detonator, so he forces Hale to drop his gun and challenges him to a fight. Hale eventually overpowers Deakins, acquires the remote detonator, disarms the warhead and leaps out of the train. As the detached boxcars slam into the halted front half, the warhead flies into Deakins and the entire train derails and explodes.
Hale finds Terry and the damaged warhead. The two formally introduce themselves to each other amidst the wreckage."
23,"In the Swiss Alps, a skier shoots and kills another skier down a mountain slope. Cut to a woman picking up a newspaper in Paris, the headline story telling of yet another Interpol agent killed in Switzerland.
That woman is Patricia Foster (Doris Day), an industrial designer for Femina Cosmetics, owned by her boss, Sir Jason Fox (Edward Mulhare). She is caught trying to sell a secret Femina cosmetics formula for an underarm deodorant to a rival company, May Fortune, owned by Matthew Cutter (Jack Kruschen). After her arrest, her subsequent release, and her firing from Femina, Patricia is hired by Cutter to work for him in their Los Angeles operation, but she nonetheless states she will not divulge any of Femina's other secrets as part of this employment. However, this selling of secrets was a scheme devised by Sir Jason for Patricia to steal a secret formula for a new water-repellent hairspray from Cutter, the formula invented by Dr Stuart Clancy (Ray Walston), May Fortune's head chemist.
Patricia is wooed by Cutter's right-hand man, Christopher White (Richard Harris), who drugs her with truth serum to get her to divulge Femina's other secrets to him, which he passes along to Cutter. Patricia, however, was aware of what Christopher was trying to do; she only pretended to be drugged and passed along false information.
While she cannot get the formula from Cutter or Clancy, Patricia learns that the formula can be obtained through analysis of a lock of hair from the one person known to have used the hairspray, who turns out to be Clancy's secretary, Su Ling (Irene Tsu). As Patricia goes to work trying to cut off a lock of Su Ling's hair, Christopher spots her. Patricia is unable to get that lock of hair, but Christopher tells her that he too is truly working for Sir Jason, and has the proof to back up his claim.
Later, just before a lunch rendezvous at a restaurant with Patricia at which they will discuss how to proceed in getting the hairspray formula, Christopher is seen setting up surveillance, which includes speaking to Cutter via hidden microphone, Cutter stating that it will be good to see an undercover agent of Sir Jason's caught red-handed trying to steal his formula. Patricia sees what Christopher is doing, although she is assured by Sir Jason that Christopher indeed does work for him and not Cutter. Patricia still does not trust Christopher as she enters the lunch date with him. She does whatever she can to thwart the surveillance that Christopher has set up, much to Christopher and Cutter's chagrin.
At a date with one of his regulars named Miranda (Lisa Seagram) - a May Fortune model who Patricia earlier seemed to recognize - Christopher learns that Patricia Foster is not the real name of the woman who May Fortune just hired.
Patricia spots Su on a movie date. Patricia sits behind her to cut off a lock of her hair, but instead is hit on secretly by Su's date, Barney (Michael J. Pollard). An altercation ensues when Patricia hits Barney.
At The Times newspaper archives, Christopher is looking through old clippings of a story concerning a man named Robert Fowler being murdered in the Swiss Alps while skiing.
At Su's apartment, Patricia finds her unconscious on the floor, seemingly drugged. She takes a small sample of a black powder lying on the coffee table, which she believes was used to drug Su and which she later gives to Sir Jason to have analyzed for her. Patricia finds a bottle of the hairspray, which she takes with her. Christopher catches her, blackmailing her that he will tell Sir Jason that her real name is Felippa Fowler. Then Dr Clancy arrives, but Patricia and Christopher manage to escape him and the police without being seen.
At a later rendezvous in the middle of the ocean on a small outboard-motor boat, Patricia admits to Christopher that her real name is indeed Felippa Fowler, and that her father - the man featured in the news clipping - was murdered in Switzerland while on the trail of a narcotics ring. Before his death, he had divulged that the head of the narcotics ring was discovered to be a woman, most probably the person who killed him. Although finding her father's killer is her main objective, Patricia is still devoted to Sir Jason, to whom she plans to give the bottle of hairspray. Purposely breaking the bottle upon hearing this news - but noticing that the bottle is an expensive Swiss one not used by Cutter - Christopher in turn tells Patricia that Clancy has Swiss connections - that he is married to a Swiss woman still living in Switzerland.
Patricia goes to Switzerland and finds at the address for Clancy's family, a woman named Madame Piasco (Lilia Skala) - Clancy's mother-in-law - who is the actual cosmetics expert who had long ago come up with the formula for herself to protect her hair for skiing. She gives a bottle to Patricia for free, as Madame Piasco states that May Fortune now has the distribution rights and it will soon be on the market in America.
Patricia goes skiing on the same hill where her father was killed, and comes under fire from a masked skier. She is rescued by Christopher, who arrives in a helicopter in the nick of time. Patricia believes it is Clancy who tried to kill her, while Christopher thinks it could not be him. He seems unconcerned about the news about the hairspray or Clancy's mother-in-law, which makes Patricia realize that neither Christopher nor Sir Jason were ever after the hairspray. Christopher tells her the story: Clancy used to be the chief cosmetics chemist for Sir Jason, but was an utter failure at it, and Sir Jason's true goal was to discover and hire the true chemical mastermind behind Clancy, whose identity he still does not know. Regardless, Patricia plans to give the hairspray solely to Sir Jason, which was her agreed mission. Christopher and Patricia profess their love for each other, but Christopher requests one more job from her concerning Sir Jason.
Out in the middle of a snowy mountaintop, Christopher has secretly placed a microphone on Patricia and secretly films her while she goes to speak to Clancy off in the distance. She offers Clancy a job with Femina as head chemist, with an illegal under-the-table bonus. Clancy declines as he says that Cutter already knows about Madame Piasco as the chemical mastermind, and if Cutter does not care, he is happy where he is. Cut to Cutter's office where he is watching the film that Christopher took of Clancy and Patricia's encounter. He tells Christopher that this footage, which he plans to broadcast, will ruin Sir Jason forever. But Cutter is angry that Christopher has not kept Patricia under confinement for her illegal role in the matter; he in return states that they can nab Patricia as she leaves Sir Jason's.
Patricia is visiting with Sir Jason, who tells her that he was able to convince Madame Piasco to come and work for him, which Patricia finds incredible. Sir Jason also tells her about the analysis of the black powder, which contains a powerful narcotic. Patricia in turn tells him that she already had the powder analyzed herself, and this analysis conducted by Sir Jason was a test purely to see if he would tell the truth or a lie, the latter of which would implicate him in her father's murder. Sir Jason also tells her that Christopher had her encounter with Clancy filmed, that Cutter plans to broadcast it to the world to ruin him, and that the Paris police after being shown the film, are now after her for bribery. He states that Christopher's motivation is purely financial, as he collects from both sides. Patricia is heartbroken about this news concerning Christopher.
As the police are ready to arrest Patricia outside Sir Jason's apartment, Christopher snatches her away. He admits that he works for Interpol. Later, Patricia is able to tell Christopher's Interpol colleagues that the narcotics were smuggled as May Fortune face powder, which was perfectly harmless until incinerated, but then turned into a powerful hallucinogen. None of them believes that Cutter is smart enough to be the head of the narcotics ring.
Donning a microphone to Interpol while searching through Cutter's Paris office, Patricia tries to tell the cleaning lady who enters the office she need not clean here. The cleaning lady is revealed to be Clancy in disguise, with a gun - he being the mysterious woman killer. As Patricia and Clancy move through the building, they scuffle, a gunshot is heard; Clancy is shot, and tumbles over the railing to his death several stories below. Sir Jason, the co-conspirator of the narcotics ring, arrives wielding a gun against Patricia. With Clancy dead, Sir Jason will have the cosmetics market all to himself as the narcotics will have been found in May Fortune containers, of which Cutter is totally unaware. Sir Jason manages to force Patricia into a helicopter and take off. Christopher shoots and kills him from a distance, leaving a frightened Patricia alone in the air. She somehow manages to fly the helicopter back to Paris and land it atop the Eiffel Tower.
Patricia and Christopher live happily ever after."
24,"A Jewish boy, Abie Levy (Rogers), falls in love with and secretly marries Rosemary Murphy (Carroll), an Irish Catholic girl, but lies to his family, saying that she's Jewish. The fathers of both bride and groom are at first religiously bigoted toward the other but with the birth of twin grandchildren, their antagonism fades."
25,"Nickie Ferrante (Cary Grant), a well-known playboy, meets Terry McKay (Deborah Kerr) aboard the transatlantic ocean liner SS Constitution en route from Europe to New York. Each is involved with someone else. After a series of meetings aboard the ship, they establish a friendship. When Terry joins Nickie on a brief visit to Janou, his grandmother, when the ship anchors near her home at Villefranche-sur-Mer on the Mediterranean coast, she sees Nickie with new eyes and their feelings become deeper. During their visit, Janou tells Terry that Nickie is a talented painter but destroys most of his paintings because they don't meet his standards. As the ship returns to New York City, they agree to reunite at the top of the Empire State Building in six months' time if they have succeeded in ending their relationships and starting new careers.
On the day of their rendezvous, Terry, hurrying to reach the Empire State Building, is struck down by a car while crossing a street. Gravely injured, she is rushed to the hospital. Meanwhile, Nickie, waiting for her at the observation deck at the top of the building, is unaware of the accident and, after many hours, leaves at midnight, believing she has rejected him.
After the accident, Terry, now unable to walk, refuses to contact Nickie because of her disability. Instead, she finds work as a music teacher. Nickie has pursued his painting and has his work displayed by Courbet, an art shop owner. Six months after the accident, Terry sees Nickie with his former fiancée at the ballet, which she herself is attending with her former boyfriend. Nickie does not notice her condition because she is seated, and she says hello as he passes her.
Nickie learns Terry's address and on Christmas Eve pays her a surprise visit. Although he tries to get her to explain her actions, Terry dodges the subject, never leaving the couch on which she sits. He gives her a shawl that Janou left for her after she died. As he is leaving, Nickie mentions a painting that he had been working on when they originally met, and that it was just given away to a woman who liked it but had no money. He is about to say that the woman was in a wheelchair when he pauses, suddenly suspecting why Terry has been sitting unmoving on the couch. He walks into her bedroom and sees the painting hanging on the wall. The film ends with the two in a tight embrace and Terry saying, ""If you can paint, I can walk. Anything can happen, don't you think?"""
26,"An elderly Malaysian man suddenly goes ballistic and kills several Indian officers in a span of five minutes at the Indian Embassy in Kuala Lumpur, Malaysia, before collapsing. A tattoo of a love symbol is present at the back of his neck, leading RAW officials to conclude that it is the handiwork of a criminal scientist named Love, whose identity and whereabouts are unknown to anyone except Akhilan Vinod (Vikram), a suspended RAW agent whose wife Meera George (Nayantara), a leading computer analyst at RAW, was killed by Love four years ago. RAW chief Malik (Nassar) tracks down Akhilan and convinces him to join the investigation. On viewing the video footage of the attack, Akhilan comes to the conclusion that the elderly Malaysian man had taken a mysterious performance-enhancing drug which allowed him to attack the Indian officials and decides to investigate the matter further in Malaysia. Since Akhilan is under suspension, Malik assigns him as a deputy to a junior RAW agent Aayushi (Nithya Menen), who is officially assigned to handle the case, and the two of them leave for Kuala Lumpur.
In Kuala Lumpur, Akhilan and Aayushi learn that the mysterious drug is inhaled using an asthma inhaler. Further investigations lead them to Peter (Karunakaran), a scientist who is on Love's payroll. Peter turns approver and tells them about the drug, which is called ""Speed"". The drug causes a person who inhales it to have extraordinary strength for five minutes before falling unconscious, and if the person inhales the drug again within a few hours, he/she will suffer a massive heart attack. Peter also reveals that a shipment of Speed inhalers is to be dispatched to Love within the next fifteen minutes. Akhilan and Aayushi pursue the lorry carrying the inhalers. But a lorry driver inhales Speed and subdue the duo, who are then taken to Love's hideout. As Akhilan moves to arrest Love (Vikram), who turns out to be transgender, he is knocked out by none other than Meera, who is shockingly still alive, has been working for Love as a computer hacker, and now goes by the name of Rosy. It is then revealed that Meera suffers from retrograde amnesia after being shot in the head four years ago and that Love took advantage of her situation to employ her as a computer hacker. She has no mind of her own, following whatever Love says. However, when Love orders her to kill Akhilan and Aayushi, she instead points the gun at Love, and calls the police, who arrest Love. Meera then reveals that she had been forced to take Speed by Love to work faster, but the drug caused her old memories, including those with Akhilan, to return, and she soon regained her full memory after continuous use of the drug.
Love manages to obtain a Speed inhaler while in custody and inhales it, helping her to escape and destroy the entire police station, killing everyone present including Aayushi. Akhilan finds out that Love had made a satellite call to Chang, the Transport Minister of Malaysia who had allowed Love to send shipments of Speed inhalers to India to perpetrate terror attacks there in return for money. He rushes to the hospital where Chang is admitted and interrogates him. During the interrogation, Love sneaks into the hospital and hiding in the AC vent, sprays a neurotoxic gas in Chang's room, causing Akhilan and Chang to get paralysed. She then kills Chang and puts the knife on Akhilan's hand, framing him as Chang's assassin. Now a wanted criminal, Akhilan, despite being paralysed, somehow manages to escape from the hospital and the Malaysian police.
Akhilan and Meera then decide to finish off Love once and for all using Love's kill switch activation device which had been restored and hidden by Aayushi before she was killed. However, as the device can only be opened with Love's fingerprint, they plan on obtaining her fingerprint. They sneak into an illegal airfield owned by Chang, where Love is planning to leave for India with the shipments of Speed inhalers. Akhilan inhales Speed and fights Love, who has also inhaled Speed, and manages to get her fingerprint before collapsing after the drug's effect wears off. On regaining consciousness, he finds out that Love has already left for India. He then uses the fingerprints to open the kill switch activation device, deactivates Meera's kill switch and kills all of Love's henchmen, including those piloting the plane. The plane crashes into a remote jungle, killing Love, destroying the Speed shipments and thus averting a major terrorist attack.
One month later, Akhilan and Meera are seen enjoying a holiday cruise sponsored by the Government of Malaysia as a reward for killing Love. After discussing their future plans, Akhilan reveals he has kept a Speed inhaler and inhales it."
27,"The film opens dramatically with Arya (Allu Arjun) being carried into an operation theatre. His friend Ajay (Navdeep) narrates how Arya changed his life. In their childhood, Arya stays in an orphanage where he has no friends or family. By force, he befriends Ajay who also is in that orphanage. From an early age, Arya displays an unusual psychology which sets him apart from the rest of the kids. He is unnaturally possessive about Ajay. However, Ajay is not too fond of his 'friend'.
One day, Ajay is adopted by a rich family and happily leaves the orphanage, as well as Arya, behind him. As time passes, he becomes a well-established business tycoon and has his own software company. Meanwhile, Arya grows into a ""bad boy"" and tracks Ajay down. His affection towards Ajay doesn't diminish despite the passage of years and he is ready to go to great lengths for the sake of their friendship. Ajay, however, feels ashamed to say that Arya is his friend and avoids him. But Arya convinces him (almost in a threatening manner) that he would be on his best behavior if he be given a job in Ajay's company. Ajay reluctantly agrees with the only condition as: if Arya is proven as a ""bad boy"" in the office, he has to leave the company.
Thus, Arya artfully converts himself into a ""Mr. Perfect"" without any flaws and joins the company. Everyone in the company is instantly fond of Arya, especially Shanti (Shraddha Das) who is madly in love with him.
One day, Geetha (Kajal Aggarwal) joins the company and Ajay and Arya both immediately fall in love with her. However, Ajay doesn't express his feelings, but Arya keeps confessing his love to Geetha. Arya does all this in his weird, unusual style, while expertly concealing this from everyone else. Geetha tries to expose Arya but no one is convinced. But one night, Geetha manages to emotionally blackmail Arya into confessing his real character (such as drinking and smoking) in front of the whole staff and proves that he isn't ""perfect"" and has a lot of flaws. Arya proposes to Geetha in front of everyone, including Shanti, and in this frustration, she proposes to Ajay, just to irk Arya and get rid of him.
Ajay isn't satisfied with this and wants to get rid of Arya for good, so crashes his own (Ajay's) car and weaves a story that Arya has crashed him, in hopes that everyone would accuse Arya and he would be fired. At this juncture, Geetha comes to know that Ajay too loves her. Geetha is touched and reflects on her fondness for Ajay, confusing it for love. She declares that she too reciprocates Ajay's love. On hearing this, Arya undergoes a dramatic transformation. He decides to sacrifice his love and arrange Ajay and Geetha's wedding.
However, on the day of their wedding, Geetha is taken away by her family to her hometown. Her father, who is a gang lord in her hometown, wants to marry her off to the son of a rival gang lord in order to resolve the long-lasting conflict between the two gangs.
Arya decides to bring her back at any cost for Ajay. He is introduced to her family and he stays at her house amid the preparations for the wedding between her and the rival gang lord's son. Due to a misunderstanding conspired by Arya, the wedding is stopped and Arya is asked to marry Geetha by her father. Arya agrees and justifies this by saying that, had he not accepted, Geetha would be married off to another person, and Ajay can never get her back. After their marriage, Ajay arrives to their town and the trio decide to go away from the place before Geetha's family manage to catch up to them. All this while, Geetha's family has grown really fond of Arya.
The three of them stay at a hotel and decide that they must forget all of their worries for Geetha and Ajay would be gone and Arya left alone.During this time, Geetha grows closer to Arya and sympathizes with his feelings. Arya plans for the duo to go to America, but Ajay, unbeknownst to Arya, changes the plan for them to go to Australia, for he fears that Arya will somehow stop them from escaping.
As Ajay and Geetha are about to escape, Geetha's father arrives with his entourage and finds them. Ajay is enraged and believes that it is Arya who's called them, but Geetha reveals that she has called them because she believed what they were doing wasn't fair to both Arya and her family, and hoped to talk things out with them instead of betraying their trust. Geetha's father wants her to be with Arya in stead of Ajay, because he realizes how much Arya really treasures and cherishes her. He attempts to stab Ajay, but Arya rescues him and gets stabbed instead. Arya is rushed to the hospital where it is seen that Geetha is truly in love with Arya.
At the end, Arya asks Ajay to press a button. Unknowingly, Ajay does so. Suddenly, Arya starts suffocating for the supply of oxygen is stopped. Geetha is beyond angry at Ajay and slaps him for doing so. Having planned all this to make Geetha hate Ajay, Arya then says sorry to Ajay. Ajay just smiles and walks out."
28,"The plot revolves around a series of couples in Monte Carlo, Monaco. Augie Morosco (John Candy) is a reformed gambler whose wife Elena Morosco (Ornella Muti) (playing a similar character to her role in Oscar) is concluding a business deal, Neil Schwary (James Belushi) is a gambler looking to strike it big and whose wife Marilyn Schwary (Cybill Shepherd) is hoping to buy some designer clothes. Julian Peters (Richard Lewis) and Phoebe (Sean Young) met each other in Rome and are attempting to return a dachshund to the wealthy Madam Van Dougan.
Madam Van Dougan is found murdered and the interactions between Julian and Phoebe and the other couples begin to look increasingly suspicious, as Inspector Bonnard (Giancarlo Giannini) needs to unravel the clues. Over the course of the film, Augie returns to gambling, Elena has an affair and Julian sells and repurchases the dog."
29,"Paula Schultz (Elke Sommer) has been preparing to compete in the Olympic Games, but instead pole-vaults over the Berlin Wall to freedom in West Germany.
A black-market operator, Bill Mason (Bob Crane), hides her in the home of an old Army buddy, Herb Sweeney (Joey Forman), who now works for the CIA. Bill is willing to hand her over for a price, to either side, so a disappointed Paula returns to East Germany with propaganda minister Klaus instead. At this point, Bill comes to his senses, realizes he loves her, then disguises himself as a female athlete to get Paula back."
30,"Grandma Louisa (Spring Byington) begins dating grocer Henry Hammond (Edmund Gwenn), much to the disgust of her son Hal (Ronald Reagan) and the rest of the family. To make matters worse, Hal’s boss, Mr. Burnside (Charles Coburn), also becomes a rival for Louisa’s affections."
31,Rosalind McGill (White) is a cloak room girl falls for a rich boy (Mulhall) who may not actually be rich.
32,"Chandu (Gopichand) is a rich, rough youth brought up by his uncle Krishna Rao (Chandra Mohan) in Australia. Mahalakshmi (Trisha) stays in Australia along with her uncle Pichaiah (Dharmavarapu Subrahmanyam), who runs a restaurant. Chandu is fond of martial arts, but he never gets a chance to exhibit them in real situations. Mahalakshmi is another martial arts freak. After a few misunderstandings, they fall in love. One day, Mahalakshmi is forced to come back to her hometown in Rayalaseema. Chandu comes in search of her. Meanwhile, Sivaiah (Sathyaraj) and his archenemy, Mahalakshmi's father Pashupati (Kota Srinivasa Rao) are the rich leaders of two neighboring villages, in rayalaseema. They have longtime enmity. Chandu comes to Mahalakshmi's village and asks her hand in marriage. Though all of her relatives oppose this, Pasupathi agrees based on one condition, that Chandu must escort his brother from railway station to home safely. The brother Rajappa (Supreeth), has been on a 23-year self-imposed exile from the district, due to his life being under threat of Sivaiah and his entire village. Chandu agrees and does so, beating 30 men of Siviah on the way. Chandu informs his uncle about the wedding and asks him to come to India. Then Chandu is challenged by Siviah that he must come alone to his house. Despite pleas from Mahalakshmi, Chandu goes and meets shiviah. Shiviah warns him and tells Chandu to stay out of his way. But Chandu picks a fight on the way back, and he is brutally injured. Then, he is saved in the hospital. There Siviah tells that this attempt was not made by him, as he doesn't like back-stabbing. Uncle Krishna Rao is shocked to see Chandu with Siviah and proceeds to tell Chandu about his parents. Shiviah is actually Chandu's father. 23 years ago, there was a big feud between village for sharing water, in which multitude of lives were lost in clashes. Siviah's wife pleads him to stop the fight, to which he pays no heed. She gives birth to twins, but one child and her parents are killed in a car-bomb, before her very eyes. This makes her to take Chandu and go to her native. After 2 years, she has a change of heart and comes to meet Siviah. As they are about to reconcile, Rajappa ambushes Siviah, and kills his wife before his eyes, despite his pleas. There Siviah vows to stop the violence, but kill Rajappa when he steps back into the district. He sent Chandu with the uncle and has paid for all of his expenses since then. Chandu then joins Siviah as his heir, and defeats both Pasupati and his brothers. Finally he marries Mahalakshmi and returns to Australia and they live happy ever after.[2]"
